date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
10/10/1955 17:00,chester (uk/england),,gb,round,20,20 seconds,Green/Orange circular disc over Chester&#44 England,1/21/2008,53.2,-2.916667,10,10,1955,17:00
10/10/1965 21:00,penarth (uk/wales),,gb,round,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18,10,10,1965,21:00
10/10/1973 23:00,bermuda nas,,bm,light,20,20 sec.,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/2002,32.364167,-64.678611,10,10,1973,23:00
10/10/1974 21:30,cardiff (uk/wales),,gb,disk,1200,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,2/1/2007,51.5,-3.2,10,10,1974,21:30
10/10/1976 22:00,stoke mandeville (uk/england),,gb,cylinder,3,3 seconds,White object over Buckinghamshire UK.,12/12/2009,51.783333,-0.783333,10,10,1976,22:00
10/10/1979 22:00,saddle lake (canada),ab,ca,triangle,270,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,1/19/2005,53.970571,-111.689885,10,10,1979,22:00
10/10/1982 7:00,gisborne (new zealand),,nz,disk,120,2min,gisborne nz 1982 wainui beach to sponge bay,1/11/2002,-38.662334,178.017649,10,10,1982,7:00
10/10/1985 20:25,leeds (uk/england),,gb,triangle,600,10min,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333,10,10,1985,20:25
10/10/1993 3:00,zlatoust (russia),,ru,round,1200,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment,12/14/2004,55.183333,59.65,10,10,1993,3:00
10/10/1994 23:00,toronto (greater toronto area) (canada),on,ca,round,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667,10,10,1994,23:00
10/10/1996 20:00,lake macquarie (nsw&#44 australia),,au,light,300,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT,5/24/1999,-33.093373,151.588982,10,10,1996,20:00
10/10/1998 22:30,st. john&#39s (canada),nf,ca,egg/teardrop,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667,10,10,1998,22:30
10/10/2000 7:30,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483333,10,10,2000,7:30
10/10/2001 4:33,sydney (nsw&#44 australia),,au,formation,180,3 minutes,formation and impact,11/20/2001,-33.861481,151.205475,10,10,2001,4:33
10/10/2001 20:10,vancouver (canada),bc,ca,other/unspecified,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.133333,10,10,2001,20:10
10/10/2002 4:00,adelaide (pt. wakefield) (south australia),,au,round,600,10 mins,one light became 3,10/28/2002,-34.928661,138.598633,10,10,2002,4:00
10/10/2002 19:45,victoria (canada),bc,ca,other/unspecified,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483333,10,10,2002,19:45
10/10/2003 23:00,bickerton (near wetherby) (uk/england),,gb,other/unspecified,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.736506,10,10,2003,23:00
10/10/2004 3:50,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3,10,10,2004,3:50
10/10/2004 9:45,nobel (canada),on,ca,other/unspecified,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1,10,10,2004,9:45
10/10/2004 15:20,kedainiai (lithuania),,lt,round,240,4min,6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD)),10/27/2004,55.288131,23.957728,10,10,2004,15:20
10/10/2005 20:00,newtown (uk/wales),,gb,formation,360,5/6 minutes,red/orang lights dancing in the sky.,5/15/2006,52.516667,-3.3,10,10,2005,20:00
10/10/2006 21:47,plymouth (devonshire) (uk/england),,gb,formation,120,1-2 mins,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,10/30/2006,50.396389,-4.138611,10,10,2006,21:47
10/10/2007 23:20,stord (norway),,no,light,600,10 min,Thise could be an ETV case&#44 but it could also be helicopters or/and airplanes,1/21/2008,59.900209,5.282347,10,10,2007,23:20
10/10/2008 2:00,london (canada),on,ca,other/unspecified,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,6/9/2009,42.983333,-81.25,10,10,2008,2:00
10/10/2011 14:00,epsom (surrey) (uk/england),,gb,round,300,5 mins,Flying beer barrel shaped metallic object,12/12/2011,51.316667,-0.266667,10,10,2011,14:00
10/10/2011 20:00,hamilton (canada),on,ca,light,4,2-4 seconds,Strange flash in the sky,10/19/2011,43.25,-79.833333,10,10,2011,20:00
10/10/2012 20:17,mount albert (canada),on,ca,triangle,30,30 seconds,On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it,10/30/2012,44.136076,-79.308339,10,10,2012,20:17
